GENE_SYMBOLS,refseq_ids
ATL2,NM_001135673
DIPK1C,NM_001044369
C1orf61,NA
ST6GAL2,NM_001142351
MMD2,NM_001100600
SHANK2,NM_001379226
PAMR1,NM_001001991
BRINP2,NM_021165
HES5,NM_001010926
TRIB1,NM_001282985
HKDC1,NM_025130
IFT27,NM_001177701
CCDC192,NM_001317938
ARSF,NM_001201538
HES4,NM_001142467
STRIP2,NM_001134336
SLC9A7,NM_001257291
DBP,NM_001352
GINS3,NM_001126129
NKAIN3-IT1,NA
IRS2,NM_003749
NEDD4,NM_001284338
TENT5A,NM_017633
SEMA4A,NM_001193300
COL27A1,NM_032161
LRRC7,NM_001330635
RNF212B,NM_001282322
PTCHD1,NM_173495
NT5E,NM_001204813
LRRTM4,NM_001134745
NEAT1,NR_002802
RASL10A,NM_001007279
RGS17,NM_012419
SEZ6,NM_001098635
TNFRSF11B,NM_002546
KLF6,NM_001008490
PLA2G5,NM_000929
GLS2,NM_001280796
HAAO,NM_012205
CDH23,NM_001171930
IL17RB,NM_018725
PARP9,NM_001146102
ARHGAP29,NM_001328664
CD38,NM_001775
TAB2,NM_001292034
LRRC9,NM_001355272
BOC,NM_001301861
ENOSF1,NM_001126123
NEK5,NM_001365552
HSD17B6,NM_003725
MRAS,NM_001085049
SCN11A,NM_001287223
RNF19A,NM_001280539
PDZK1,NM_001201325
TPPP3,NM_015964
RRS1,NM_015169
DDR2,NM_001014796
PRKCQ,NM_001242413
HES1,NM_005524
NUPR1,NM_001042483
FUT2,NM_000511
MOXD1,NM_015529
ATP2C2,NM_001286527
FAM124A,NM_001242312
BCL2L14,NM_001370268
BCL6,NM_001130845
RASGEF1A,NM_001282862
HES6,NM_001142853
INSYN1,NM_001039614
RBP2,NM_004164
PLEKHA5,NM_001143821
CLMP,NM_024769
FSIP2,NM_173651
HPR,NM_001384360
CRYAB,NM_001289807
SPRY1,NM_001258038
SLC25A35,NM_001320870
EFHD2,NM_024329
TARID,NR_109982
CCDC196,NM_001004331
PNMA8A,NM_001103149
TMTC1,NM_001193451
NNAT,NM_001322802
ENPP3,NM_005021
MEI4,NM_001282136
C6orf118,NM_144980
LHFPL1,NM_178175
SYNM,NM_015286
SLC5A3,NM_006933
TMPRSS3,NM_001256317
CNTNAP3,NM_001393379
SMTN,NM_001207017
PI15,NM_001324403
SLC29A3,NM_001174098
SYCP3,NM_001177948
KCND3,NM_001378969
WNT7B,NM_001410806
LRATD1,NM_001291410
