GENE_SYMBOLS,refseq_ids
FBXO2,NM_012168
TCEA3,NM_003196
STPG1,NM_001199012
ZNF362,NM_001370212
B4GALT2,NM_001005417
CYP4X1,NM_001320289
CYP4Z1,NM_178134
LRRC42,NM_001256409
MROH7,NM_001039464
NTNG1,NM_001113226
WDR77,NM_001317062
LIX1L,NM_153713
S100A1,NM_006271
KRTCAP2,NM_173852
LEFTY1,NM_020997
RAB4A,NM_001271998
PDIA6,NM_001282704
TIA1,NM_001351508
POLR1B,NM_001137604
COL4A4,NM_000092
ATG7,NM_001136031
TMEM115,NM_007024
DHFR2,NM_001195643
ABHD10,NM_001272069
DBR1,NM_016216
SLC7A14,NM_020949
GRK4,NM_001004056
SMIM20,NM_001145432
SCFD2,NM_152540
CISD2,NM_001008388
CASP6,NM_001226
FAT4,NM_001291285
PCDH10,NM_020815
RASGRF2,NM_006909
RAB24,NM_001031677
NOL7,NM_001317724
MDGA1,NM_153487
MEA1,NM_001318942
COL21A1,NM_001318751
BACH2,NM_001170794
CRYBG1,NM_001371242
EYA4,NM_001301012
PEX7,NM_000288
HNRNPA2B1,NM_002137
FAM185A,NM_001145268
NAMPT,NM_005746
CLEC2L,NM_001080511
HTR5A,NM_024012
PTPRN2,NM_001308267
EPHX2,NM_001256482
RAB11FIP1,NM_001002233
XKR4,NM_052898
STK3,NM_001256312
DEPTOR,NM_001283012
MAMDC2,NM_001347990
MRPL50,NM_019051
DAB2IP,NM_001395010
RALGPS1,NM_001190728
WDR34,NA
ANKRD16,NM_001009941
MKX,NM_001242702
ENTPD7,NM_001349962
LHPP,NM_001167880
IFITM3,NM_021034
NCR3LG1,NM_001009913
RCN1,NM_002901
TNKS1BP1,NM_033396
BAD,NM_004322
CHKA,NM_001277
ANO1,NM_001378092
ARHGAP42,NM_001367945
UBASH3B,NM_001363365
HEPN1,NM_001037558
ETNK1,NM_001039481
SLC38A2,NM_001307936
ACVR1B,NM_001412774
RBMS2,NM_001414459
TMEM19,NM_018279
ATXN7L3B,NM_001136262
KSR2,NM_173598
FRY,NM_001411012
PDS5B,NM_015032
LACC1,NM_001128303
RUBCNL,NM_001286761
FKBP3,NM_002013
GCH1,NM_000161
SPATA7,NM_001040428
SLC24A4,NM_001378620
TRAF3,NM_001199427
IGDCC4,NM_020962
CORO2B,NM_001190456
ADAMTSL3,NM_001301110
ST8SIA2,NM_001330416
SHISA9,NM_001145204
IQCK,NM_001305121
ERI2,NM_001142725
DCUN1D3,NM_173475
PRR14,NM_001320464
CYLD,NM_001042355
TANGO6,NM_024562
DDX19B,NM_001014449
MC1R,NM_002386
SLC47A1,NM_018242
MYO19,NM_001033579
GSDMB,NM_001042471
ASXL3,NM_030632
SYT4,NM_020783
ZNF236-DT,NR_040024
MBP,NM_001025081
ZNF562,NM_001130031
ZNF564,NM_144976
DHPS,NM_001206974
ZNF708,NM_001297560
ZNF91,NM_001300951
OPA3,NM_001017989
ZNF582,NM_001320371
ZNF134,NM_003435
TRIM28,NM_005762
CDK5RAP1,NM_001278167
ZHX3,NM_001384315
RBM11,NM_001320602
S100B,NM_006272
NF2,NM_000268
SEC14L2,NM_001204204
CPT1B,NM_001145134
KLHL15,NM_030624
SH3BGRL,NM_003022
TCEAL9,NM_001006612
RAB40A,NM_080879
