GENE_SYMBOLS,refseq_ids
ARL4A,NM_001037164
TSC22D4,NM_001303043
GLS2,NM_001280796
AGBL3,NM_001345850
FBXO2,NM_012168
ATP5IF1,NM_016311
S100A16,NM_001317007
OST4,NM_001134693
SLC3A1,NM_000341
RPS27A,NM_001135592
ST6GAL2,NM_001142351
CHCHD5,NM_001304353
KCNJ13,NM_001172416
RPL15,NM_001253379
RPL14,NM_001034996
RPL22L1,NM_001099645
RPL9,NM_000661
TMPRSS11D,NM_004262
RPS3A,NM_001006
TMEM131L,NM_001131007
SNHG32,NM_001040437
RGS17,NM_012419
C6orf118,NM_144980
LAMB1,NM_002291
PRSS51,XM_047422509
NKAIN3,NM_001039769
RRS1,NM_015169
RBIS,NM_001099670
TNFRSF11B,NM_002546
RPP25L,NM_148178
PHF19,NM_001009936
RPL7A,NM_000972
CUBN,NM_001081
HKDC1,NM_025130
TRMT112,NM_001286082
FAU,NM_001997
PRMT8,NM_001256536
A2ML1,NM_001282424
RPL41,NM_001035267
TMED2,NM_001321445
IFI27L2,NM_032036
PPL,NM_002705
RPS15A,NM_001019
RPL13,NM_000977
RPL26,NM_000987
RPL23A,NM_000984
RPL19,NM_000981
ZNF69,NM_001321163
COX7A1,NM_001864
RASSF2,NM_014737
SMIM26,NM_001348957
SELENOM,NM_080430
ZBTB8A,NM_001040441
HAAO,NM_012205
PRELID1,NM_001271828
RPS18,NM_022551
RPS12,NM_001016
SNHG15,NR_003697
C9orf129,NA
ALOX12,NM_000697
GHDC,NM_001142622
SLC1A1,NM_004170
ORMDL1,NM_001128150
ELOB,NM_007108
ARG2,NM_001172
POLD4,NM_001256870
JHY,NM_001363087
PNPLA6,NM_001166111
RAB5IF,NM_001199534
BEX3,NM_001282674
PAPPA2,NM_020318
