"Query","Entrez","Symbol","Name","Comment"
"COX7A1","1346","COX7A1","cytochrome c oxidase subunit 7A1","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"UQCRQ","27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII","1"
"CD74","972","CD74","CD74 molecule","1"
"ATOX1","475","ATOX1","antioxidant 1 copper chaperone","1"
"RPS10","6204","RPS10","ribosomal protein S10","1"
"PPIL1","51645","PPIL1","peptidylprolyl isomerase like 1","1"
"COX7A2","1347","COX7A2","cytochrome c oxidase subunit 7A2","1"
"NDUFA5","4698","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"PPP1R26","9858","PPP1R26","protein phosphatase 1 regulatory subunit 26","1"
"NEDD8","4738","NEDD8","NEDD8 ubiquitin like modifier","1"
"CTXN2","399697","CTXN2","cortexin 2","1"
"CYB5D1","124637","CYB5D1","cytochrome b5 domain containing 1","1"
"SNHG29","125144","SNHG29","small nucleolar RNA host gene 29","1"
"C19orf53","28974","C19orf53","chromosome 19 open reading frame 53","1"
"POLR2I","5438","POLR2I","RNA polymerase II subunit I","1"
"PET117","100303755","PET117","PET117 cytochrome c oxidase chaperone","1"
"NEFH","4744","NEFH","neurofilament heavy","1"
"UQCR10","29796","UQCR10","""ubiquinol-cytochrome c reductase, complex III subunit X""","1"
"RPS19BP1","91582","RPS19BP1","ribosomal protein S19 binding protein 1","1"
"RPL29","6159","RPL29","ribosomal protein L29","1"
"DDT","1652","DDT","D-dopachrome tautomerase","1"
"NDUFA1","4694","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1","1"
"NDUFB2","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2","1"
"TMEM185B","79134","TMEM185B","transmembrane protein 185B","1"
"RPL41","6171","RPL41","ribosomal protein L41","1"
"RIIAD1","284485","RIIAD1","regulatory subunit of type II PKA R-subunit domain containing 1","1"
"MZT2A","653784","MZT2A","mitotic spindle organizing protein 2A","1"
"COPS9","150678","COPS9","COP9 signalosome subunit 9","1"
"MRPL21","219927","MRPL21","mitochondrial ribosomal protein L21","1"
"SNRNP25","79622","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25","1"
"ANTKMT","65990","ANTKMT","adenine nucleotide translocase lysine methyltransferase","1"
"RPS27","6232","RPS27","ribosomal protein S27","1"
"SNHG8","100093630","SNHG8","small nucleolar RNA host gene 8","1"
"UQCR11","10975","UQCR11","""ubiquinol-cytochrome c reductase, complex III subunit XI""","1"
"MRPS18B","28973","MRPS18B","mitochondrial ribosomal protein S18B","1"
"RPS15A","6210","RPS15A","ribosomal protein S15a","1"
"ATP5MG","10632","ATP5MG","ATP synthase membrane subunit g","1"
"WDR64","128025","WDR64","WD repeat domain 64","1"
"TMSB10","9168","TMSB10","thymosin beta 10","1"
"NRN1","51299","NRN1","neuritin 1","1"
"HDDC2","51020","HDDC2","HD domain containing 2","1"
"TOMM7","54543","TOMM7","translocase of outer mitochondrial membrane 7","1"
"MICOS13","125988","MICOS13","mitochondrial contact site and cristae organizing system subunit 13","1"
"MORN2","729967","MORN2","MORN repeat containing 2","1"
"RPS27A","6233","RPS27A","ribosomal protein S27a","1"
"PRADC1","84279","PRADC1","protease associated domain containing 1","1"
"COX5B","1329","COX5B","cytochrome c oxidase subunit 5B","1"
"IER3IP1","51124","IER3IP1","immediate early response 3 interacting protein 1","1"
"GIHCG","100506844","GIHCG","GIHCG inhibitor of miR-200b/200a/429 expression","1"
"ZNF598","90850","ZNF598","zinc finger protein 598","1"
"TMEM220","388335","TMEM220","transmembrane protein 220","1"
"NRIP2","83714","NRIP2","nuclear receptor interacting protein 2","1"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"RPL39","6170","RPL39","ribosomal protein L39","1"
"FDX2","112812","FDX2","ferredoxin 2","1"
"PLCXD2","257068","PLCXD2","phosphatidylinositol specific phospholipase C X domain containing 2","1"
"DNPH1","10591","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","1"
