GENE_SYMBOLS,refseq_ids
AURKAIP1,NM_001127229
ANKRD65,NM_001145210
RPL22,NM_000983
PARK7,NM_001123377
RPL11,NM_000975
ZNF593,NM_015871
ATP5IF1,NM_016311
NDUFS5,NM_001184979
RPS8,NM_001012
PLK3,NM_004073
UQCRH,NM_001297565
LAMTOR5,NM_001382293
MRPL9,NM_001300733
S100A6,NM_014624
RPS27,NM_001030
HAX1,NM_001018837
LAMTOR2,NM_001145264
TSTD1,NM_001113205
FAM163A,NM_001329712
GUK1,NM_000858
DCDC2C,NM_001287444
TRIB2,NM_021643
OST4,NM_001134693
CRIM1-DT,NR_037631
MORN2,NM_001145450
RPS27A,NM_001135592
PRADC1,NM_032319
BOLA3,NM_001035505
TMSB10,NM_021103
RNF181,NM_016494
COX5B,NM_001862
MZT2B,NM_001330282
MZT2A,NM_001085365
NDUFB3,NM_001257102
EEF1B2,NM_001037663
RPL37A,NM_000998
COPS9,NM_001163424
BRK1,NM_018462
RPL32,NM_000994
TMA7,NM_001329417
RPL29,NM_000992
RPL24,NM_000986
COX17,NM_001382002
DNAJC19,NM_001190233
NCBP2,NM_001042540
NCBP2AS2,NM_001355243
RPL35A,NM_000996
C4orf48,NM_001141936
RPL9,NM_000661
H2AFZ,NA
RPL34,NM_000995
SNHG8,NR_003584
RPS3A,NM_001006
NDUFS6,NM_004553
ZNF622,NM_033414
RPL37,NM_000997
RPS23,NM_001025
COX7C,NM_001867
UQCRQ,NM_014402
EGR1,NM_001964
PCDHB7,NM_018940
RPS14,NM_001025070
ATOX1,NM_004045
RPL26L1,NM_001317980
NRN1,NM_001278710
RPS18,NM_022551
RPS10,NM_001014
RPL10A,NM_007104
PPIL1,NM_016059
TOMM6,NM_001134493
MEA1,NM_001318942
DNPH1,NM_006443
MRPL14,NM_001318767
COX7A2,NM_001366292
HDDC2,NM_016063
RPS12,NM_001016
ABRACL,NM_021243
TOMM7,NM_019059
CYCS,NM_018947
MRPS24,NM_032014
SNHG15,NR_003697
SEC61G,NM_001012456
CHCHD2,NM_001320327
NPTX2,NM_002523
PDAP1,NM_014891
ATP5MF,NM_001003713
MBLAC1,NM_203397
VGF,NM_003378
ZNHIT1,NM_006349
FIS1,NM_016068
POLR2J,NM_001371100
UPK3BL1,NM_001114403
NDUFA5,NM_001282419
NDUFB2,NM_004546
LPL,NM_000237
CHCHD7,NM_001011667
RPL7,NM_000971
ELOC,NM_001204857
UQCRB,NM_001199975
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
BAG1,NM_001172415
TOMM5,NM_001001790
SEC61B,NM_006808
TXN,NM_001244938
POLE3,NM_001278255
NDUFA8,NM_001318195
RPL35,NM_007209
RPL12,NM_000976
C9orf16,NA
RPL7A,NM_000972
TMEM141,NM_032928
PHPT1,NM_001135860
TMEM203,NM_053045
CHCHD1,NM_203298
RPS24,NM_001026
ATP5MD,NA
RPLP2,NM_001004
POLR2L,NM_021128
RPL27A,NM_000990
RPS13,NM_001017
TIMM10,NM_012456
SELENOH,NM_001321335
TMEM258,NM_014206
COX8A,NM_004074
PRDX5,NM_001358511
CDCA5,NM_080668
FAU,NM_001997
CCDC85B,NM_006848
POLD4,NM_001256870
GSTP1,NM_000852
MRPL21,NM_181512
