GENE_SYMBOLS,refseq_ids
DCDC2B,NM_001099434
LYPLAL1-DT,NR_038845
WDR64,NM_001367482
RRM2,NM_001034
TMEM185B,NM_024121
TTC30A,NA
CCDC150,NM_001080539
ZNF502,NM_001134440
FOXP1-IT1,NA
PLCXD2,NM_001134478
EPHB3,NM_004443
WDR1,NM_005112
PRDM8,NM_001099403
PLCXD3,NM_001005473
TSBP1,NM_001286474
HINT3,NM_138571
LYNX1,NM_001356370
NINJ1,NM_004148
UCK1,NM_001135954
ITGB1-DT,NR_184020
ZNF487,NM_001355444
SPOCK2,NM_001134434
ACCS,NM_001127219
OR9Q1,NM_001005212
KLC2,NM_001134774
NRIP2,NM_031474
PDZRN4,NM_001164595
SLC38A2,NM_001307936
DNAH10OS,NM_001039894
CCNA1,NM_001111045
CHGA,NM_001275
GJD2,NM_020660
CHAC1,NM_001142776
CTXN2,NM_001145668
LARP6,NM_001286679
LMF1,NM_001352017
NPIPB11,NM_001310137
HSDL1,NM_001146051
CTDNEP1,NM_001143775
CYB5D1,NM_001330110
TMEM220,NM_001004313
EVI2B,NM_006495
RASL10B,NM_033315
FAM171A2,NM_198475
ANKRD40,NM_052855
NPTX1,NM_002522
DCXR,NM_001195218
SLC16A3,NM_001042422
ILVBL,NM_006844
LSR,NM_001260489
LENG9,NM_001301782
SLC24A3,NM_020689
GZF1,NM_001317012
SLC5A3,NM_006933
NEFH,NM_021076
SUN2,NM_001199579
TMEM47,NM_031442
FOXO4,NM_001170931
ARMCX6,NM_001009584
TSC22D3,NM_001015881
ZBTB33,NM_001184742
SLC10A3,NM_001142391
