GENE_SYMBOLS,refseq_ids
MPEG1,NM_001039396
AZIN2,NM_001293562
LTC4S,NM_000897
IGF1,NM_000618
FMN1,NM_001103184
CX3CR1,NM_001171171
NAV2,NM_001111018
PID1,NM_001100818
PER3,NM_001289861
NLRC5,NM_001330552
PRDM11,NM_001256695
SAP30,NM_003864
SLC35G2,NM_001097599
TSHZ3,NM_020856
RAB27A,NM_004580
TBC1D8,NM_001102426
SH3PXD2B,NM_001017995
CD163,NM_001370145
MAMDC2,NM_001347990
HNRNPA1P48,NA
CD163L1,NM_001297650
PLXDC1,NM_020405
NEAT1,NR_002802
ACY3,NM_080658
IL15,NM_000585
SYN3,NM_001135774
CASP4,NM_001225
DLEU7,NM_001306135
JAK3,NM_000215
MAP3K8,NM_001244134
TBC1D14,NM_001113361
PLAT,NM_000930
DPYD,NM_000110
HRH1,NM_000861
GPR65,NM_003608
ADAMTS17,NM_139057
ECT2,NM_001258315
MEI4,NM_001282136
SERPINA1,NM_000295
IKBKE,NM_001193321
ST14,NM_021978
LY96,NM_001195797
DRAM1,NM_018370
RNF149,NM_173647
KIF26B,NM_018012
ERC2,NM_015576
SMIM35,NM_001354434
PVT1,NR_003367
NFIL3,NM_001289999
TGFBI,NM_000358
CLEC1A,NM_001297748
ALOX15B,NM_001039130
GRAMD1A,NM_001136199
APOC1,NM_001321065
OLR1,NM_001172632
LDLRAD3,NM_001304263
CPT1A,NM_001031847
NIBAN1,NM_052966
STAB1,NM_015136
FAM20A,NM_001243746
YBX3,NM_001145426
CH25H,NM_003956
C17orf67,NM_001085430
PTPN2,NM_001207013
KCNB2,NM_004770
CD93,NM_012072
LILRB3,NM_001081450
DIRC3,NR_026597
HIF1A,NM_001243084
HCG22,NM_001348249
RNF175,NM_173662
LIMK2,NM_001031801
NRG1,NM_001159995
BCL6,NM_001130845
IL4R,NM_000418
HAMP,NM_021175
LMNB1,NM_001198557
GBP2,NM_004120
SLC11A1,NM_000578
ACSL1,NM_001286708
HSPA6,NM_002155
TMEM163,NM_030923
PLSCR1,NM_001363872
PROX1,NM_001270616
FLVCR2,NM_001195283
SHOC1,NM_001080551
ZFP36,NM_003407
PIM1,NM_001243186
LIPG,NM_001308006
PPP1R3B,NM_001201329
F13A1,NM_000129
FAM110B,NM_001377989
THEMIS2,NM_001039477
MANF,NM_006010
SPON1,NM_006108
HSPA1A,NM_005345
CHI3L1,NM_001276
PLAC8,NM_001130715
HIST2H2BE,NA
IL21R,NM_021798
EZH2,NM_001203247
HSPA1B,NM_005346
HIST1H2AC,NA
PTPN1,NM_001278618
SBNO2,NM_001100122
FCGBP,NM_003890
SH2B2,NM_001359228
SCO2,NM_001169109
RNF144B,NM_182757
ADGRE2,NM_001271052
CD83,NM_001040280
SPP1,NM_000582
PLTP,NM_001242920
CALCR,NM_001164737
CD55,NM_000574
SLC5A9,NM_001011547
TYMP,NM_001113755
DLGAP2,NM_001277161
APOLD1,NM_001130415
S100A9,NM_002965
ROR2,NM_001318204
SNHG12,NR_024127
FAM157C,NR_126161
VEGFA,NM_001025366
HSPA5,NM_005347
S100A8,NM_001319196
