GENE_SYMBOLS,refseq_ids
TXLNA,NM_001376857
SNRPE,NM_001304464
TMSB10,NM_021103
MZT2A,NM_001085365
GALNT13,NM_001301627
COPS9,NM_001163424
RPSA,NM_001304288
TMEM108,NM_001136469
CLSTN2,NM_022131
MMRN1,NM_001371403
RPL34,NM_000995
NDUFS6,NM_004553
HCN1,NM_021072
NUDCD2,NM_001329991
RPS18,NM_022551
RPL10A,NM_007104
PLA2G7,NM_001168357
TOMM7,NM_019059
ATP5MF,NM_001003713
FIS1,NM_016068
FMC1,NM_197964
NDUFB2,NM_004546
SNHG6,NR_002599
RPL7,NM_000971
RIMS2,NM_001100117
RPL12,NM_000976
SELENOH,NM_001321335
FAU,NM_001997
TIMM8B,NM_012459
MGST1,NM_001260511
RPL21,NM_000982
SRP14,NM_001309434
PPIB,NM_000942
RPLP1,NM_001003
RPS2,NM_002952
ADCY9,NM_001116
RPS15A,NM_001019
MIS12,NM_001258217
RPL26,NM_000987
NME1,NM_000269
ANAPC11,NM_001002244
ABCA7,NM_019112
GADD45GIP1,NM_052850
ATP5F1E,NM_006886
RPS19BP1,NM_194326
RPL36A,NM_001199972
