GENE_SYMBOLS,refseq_ids
KLHL17,NM_198317
PANK4,NM_018216
KLHL21,NM_001324309
NMNAT1,NM_001297778
CROCC,NM_014675
PAQR7,NM_178422
TRNP1,NM_001013642
LRRC42,NM_001256409
MROH7,NM_001039464
DNAJB4,NM_001317099
NTNG1,NM_001113226
AMIGO1,NM_020703
WDR77,NM_001317062
S100A1,NM_006271
EFNA3,NM_004952
KRTCAP2,NM_173852
ACKR1,NM_001122951
KCNJ10,NM_002241
DUSP12,NM_007240
TIMM17A,NM_006335
HHAT,NM_001122834
USH2A,NM_007123
OR2L5,NM_001258284
RDH14,NM_020905
MERTK,NM_006343
WIPF1,NM_001077269
IGFBP5,NM_000599
ANKMY1,NM_001282771
TMEM115,NM_007024
CGGBP1,NM_001008390
ABI3BP,NM_001349329
LEKR1,NM_001004316
ZBBX,NM_001199201
PLD1,NM_001130081
APOD,NM_001647
HGFAC,NM_001297439
JAKMIP1,NM_001099433
ARL9,NM_001363794
PCDH10,NM_020815
CLGN,NM_001130675
PART1,NM_001039499
CKMT2,NM_001099735
LRRTM2,NM_015564
LCP2,NM_005565
STK10,NM_005990
DUSP1,NM_004417
CDHR2,NM_001171976
RAB24,NM_001031677
RASGEF1C,NM_001031799
PIM1,NM_001243186
MDGA1,NM_153487
MEA1,NM_001318942
CENPQ,NM_018132
COL21A1,NM_001318751
BACH2,NM_001170794
CRYBG1,NM_001371242
SGK1,NM_001143676
ZNF853,NM_001353546
PURB,NM_033224
GTF2IRD1,NM_001199207
SEMA3C,NM_001350120
DLX5,NM_005221
DNAJB9,NM_012328
HTR5A,NM_024012
FAM85B,NR_147089
TEX15,NM_001350162
DUSP26,NM_001305115
CA3,NM_005181
RIPK2,NM_001375360
LRRC14,NM_001272036
CDKN2A,NM_000077
DNAJA1,NM_001314039
FRMPD1,NM_001371223
ANKRD20A4,NA
NFIL3,NM_001289999
ROR2,NM_001318204
CDC14B,NM_001077181
MRPL50,NM_019051
LHX2,NM_004789
NEK6,NM_001145001
WDR34,NA
PLPP7,NM_001411021
MKX,NM_001242702
PCBD1,NM_000281
ENTPD7,NM_001349962
RBM20,NM_001134363
FGFR2,NM_000141
ZNF511,NM_145806
SCART1,NM_001033584
IFITM3,NM_021034
NCR3LG1,NM_001009913
RCN1,NM_002901
KBTBD4,NM_001318716
C11orf95,NA
PPP2R5B,NM_006244
AQP11,NM_001363477
POGLUT3,NM_001363502
ZPR1,NM_001317086
NRIP2,NM_031474
DDX11,NM_001257144
TESPA1,NM_001098815
RBMS2,NM_001414459
TMEM19,NM_018279
ATXN7L3B,NM_001136262
DCN,NM_001920
CFAP54,NM_001306084
C12orf75,NM_001145199
WDR66,NA
KBTBD6,NM_152903
NRAD1,NR_026955
RUBCNL,NM_001286761
TEX30,NM_001286775
ARF6,NM_001663
ENTPD5,NM_001249
ACYP1,NM_001107
FAM81A,NM_152450
GTF2A2,NM_001320929
CORO2B,NM_001190456
PPCDC,NM_001301101
PTPN9,NM_002833
SAXO2,NM_001008226
ST8SIA2,NM_001330416
NR2F2,NM_001145155
SYNGR3,NM_004209
ERI2,NM_001142725
DCUN1D3,NM_173475
VWA3A,NM_173615
SCNN1G,NM_001039
LRRC29,NA
TANGO6,NM_024562
MC1R,NM_002386
RPH3AL,NM_001190411
PHF23,NM_001284517
GFAP,NM_001131019
DCAKD,NM_001128631
SLC39A11,NM_001159770
SNHG16,NR_038108
AQP4,NM_001317384
CCDC178,NM_001105528
ASXL3,NM_030632
SYT4,NM_020783
DHPS,NM_001206974
PPP1R14A,NM_001243947
DEDD2,NM_001270614
APOE,NM_000041
OPA3,NM_001017989
SHANK1,NM_016148
ZNF134,NM_003435
RBM11,NM_001320602
RUNX1,NM_001001890
C22orf39,NM_001166242
DGCR6L,NM_033257
RTL6,NM_032287
TMEM47,NM_031442
ZXDB,NM_007157
MAGT1,NM_001367916
ARMCX6,NM_001009584
RTL8A,NM_001078172
ZFY,NM_001145275
PRKY,NM_002760
USP9Y,NM_004654
NLGN4Y,NM_001164238
TTTY10,NM_139210
