GENE_SYMBOLS,refseq_ids
CORT,NM_001302
BTF3,NM_001037637
CRH,NM_000756
TCEAL8,NM_001006684
SELENOM,NM_080430
LSM3,NM_014463
TOMM7,NM_019059
SMIM26,NM_001348957
DNPH1,NM_006443
EMC6,NM_001014764
FAU,NM_001997
RPS27,NM_001030
RPL36A,NM_001199972
DCLRE1C,NM_001033855
SELENOH,NM_001321335
RPL35A,NM_000996
WDR77,NM_001317062
PCP4L1,NM_001102566
TSPAN31,NM_001330168
TOMM5,NM_001001790
RPL36AL,NM_001001
RPS15A,NM_001019
COPS7A,NM_001164093
RPS23,NM_001025
RPS13,NM_001017
RPS27A,NM_001135592
HLA-B,NM_005514
CHGB,NM_001819
ABRACL,NM_021243
TCEAL7,NM_001348258
KRTCAP2,NM_173852
RAB24,NM_001031677
NDUFB11,NM_001135998
SNHG8,NR_003584
FNDC4,NM_022823
RPS26,NM_001029
TMEM208,NM_001318217
NCBP2AS2,NM_001355243
RPS19BP1,NM_194326
SNHG6,NR_002599
SLC32A1,NM_080552
SNAPC5,NM_001329613
FGF1,NM_000800
RPS25,NM_001028
HDDC3,NM_001286451
RPL26,NM_000987
UBE2S,NM_014501
CBLN4,NM_080617
DDT,NM_001084392
MCHR1,NM_005297
SST,NM_001048
ACP2,NM_001131064
DDIT3,NM_001195053
HELLPAR,NA
RPH3AL,NM_001190411
DUSP4,NM_001394
SLC10A4,NM_152679
NR2F2,NM_001145155
TRPC3,NM_001130698
HES4,NM_001142467
ST8SIA2,NM_001330416
HIST3H2A,NA
MRPS24,NM_032014
CCDC178,NM_001105528
PHKG1,NM_001258459
SCRG1,NM_001329597
TIMM10,NM_012456
SPDYE2,NM_001031618
HTR5A,NM_024012
CCN3,NM_002514
NRIP2,NM_031474
TMEM115,NM_007024
CYCS,NM_018947
IFITM3,NM_021034
COX14,NM_001257133
OXLD1,NM_001039842
TEX15,NM_001350162
ANGPTL1,NM_001376763
PANK4,NM_018216
CAMK2N2,NM_033259
RPL10A,NM_007104
KBTBD4,NM_001318716
ZXDB,NM_007157
VIP,NM_003381
IGFBP5,NM_000599
ABI3BP,NM_001349329
SNHG15,NR_003697
SPDYE21P,NA
PRKCD,NM_001316327
DNAJB9,NM_012328
VGF,NM_003378
TCIM,NM_020130
NAP1L5,NM_153757
P2RY14,NM_001081455
TGFB1,NM_000660
PGAM1,NM_001317079
CPLX3,NM_001030005
RGS16,NM_002928
ARL9,NM_001363794
CCDC65,NM_001286957
MRPL17,NM_022061
ATP6AP1,NM_001183
JAKMIP1,NM_001099433
LAMP5,NM_001199897
OR2L5,NM_001258284
OST4,NM_001134693
SCNN1G,NM_001039
IGSF10,NM_001178145
CLIC5,NM_001114086
HCRTR2,NM_001384272
UBE2L6,NM_004223
