"Query","Entrez","Symbol","Name","Comment"
"ETV5","2119","ETV5","ETS variant transcription factor 5","1"
"FNDC4","64838","FNDC4","fibronectin type III domain containing 4","1"
"SPRY4","81848","SPRY4","sprouty RTK signaling antagonist 4","1"
"PEX11B","8799","PEX11B","peroxisomal biogenesis factor 11 beta","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"NRN1","51299","NRN1","neuritin 1","1"
"PPT1","5538","PPT1","palmitoyl-protein thioesterase 1","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"SPATA2L","124044","SPATA2L","spermatogenesis associated 2 like","1"
"SPRED3","399473","SPRED3","sprouty related EVH1 domain containing 3","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
"TIMM17A","10440","TIMM17A","translocase of inner mitochondrial membrane 17A","1"
"KBTBD4","55709","KBTBD4","kelch repeat and BTB domain containing 4","1"
"HMGN4","10473","HMGN4","high mobility group nucleosomal binding domain 4","1"
"RETREG2","79137","RETREG2","reticulophagy regulator family member 2","1"
"MIEF1","54471","MIEF1","mitochondrial elongation factor 1","1"
"MAK16","84549","MAK16","MAK16 homolog","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"ABRACL","58527","ABRACL","ABRA C-terminal like","1"
"CRH","1392","CRH","corticotropin releasing hormone","1"
"PGAM1","5223","PGAM1","phosphoglycerate mutase 1","1"
"SNAPC5","10302","SNAPC5","small nuclear RNA activating complex polypeptide 5","1"
"NEU1","4758","NEU1","neuraminidase 1","1"
"SMKR1","100287482","SMKR1","small lysine rich protein 1","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"MCFD2","90411","MCFD2","""multiple coagulation factor deficiency 2, ER cargo receptor complex subunit""","1"
"NSG1","27065","NSG1","neuronal vesicle trafficking associated 1","1"
"C16orf91","283951","C16orf91","chromosome 16 open reading frame 91","1"
"DNAJB9","4189","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","1"
"TTPAL","79183","TTPAL","alpha tocopherol transfer protein like","1"
"TAF13","6884","TAF13","TATA-box binding protein associated factor 13","1"
"PER2","8864","PER2","period circadian regulator 2","1"
