"Query","Entrez","Symbol","Name","Comment"
"TAS1R3","83756","TAS1R3","taste 1 receptor member 3","1"
"SLC2A5","6518","SLC2A5","solute carrier family 2 member 5","1"
"C1QA","712","C1QA","complement C1q A chain","1"
"C1QC","714","C1QC","complement C1q C chain","1"
"ZNF436","80818","ZNF436","zinc finger protein 436","1"
"PTAFR","5724","PTAFR","platelet activating factor receptor","1"
"LAPTM5","7805","LAPTM5","lysosomal protein transmembrane 5","1"
"GJA4","2701","GJA4","gap junction protein alpha 4","1"
"COL8A2","1296","COL8A2","collagen type VIII alpha 2 chain","1"
"CSF3R","1441","CSF3R","colony stimulating factor 3 receptor","1"
"SHISAL2A","348378","SHISAL2A","shisa like 2A","1"
"GBP3","2635","GBP3","guanylate binding protein 3","1"
"HIST2H2AC","NA","NA","NA","0"
"MINDY1","55793","MINDY1","MINDY lysine 48 deubiquitinase 1","1"
"FLG2","388698","FLG2","filaggrin family member 2","1"
"RAB13","5872","RAB13","""RAB13, member RAS oncogene family""","1"
"SLAMF8","56833","SLAMF8","SLAM family member 8","1"
"FCGR3A","2214","FCGR3A","Fc fragment of IgG receptor IIIa","1"
"FAM163A","148753","FAM163A","family with sequence similarity 163 member A","1"
"NUAK2","81788","NUAK2","NUAK family kinase 2","1"
"STUM","375057","STUM","""stum, mechanosensory transduction mediator homolog""","1"
"WNT9A","7483","WNT9A","Wnt family member 9A","1"
"WDR64","128025","WDR64","WD repeat domain 64","1"
"COLEC11","78989","COLEC11","collectin subfamily member 11","1"
"CAPG","822","CAPG","""capping actin protein, gelsolin like""","1"
"ZAP70","7535","ZAP70","zeta chain of T cell receptor associated protein kinase 70","1"
"ARHGAP15","55843","ARHGAP15","Rho GTPase activating protein 15","1"
"SP100","6672","SP100","SP100 nuclear antigen","1"
"CCR1","1230","CCR1","C-C motif chemokine receptor 1","1"
"STAB1","23166","STAB1","stabilin 1","1"
"TEX55","152405","TEX55","testis expressed 55","1"
"PARP9","83666","PARP9","poly(ADP-ribose) polymerase family member 9","1"
"DTX3L","151636","DTX3L","deltex E3 ubiquitin ligase 3L","1"
"PLSCR5","389158","PLSCR5","phospholipid scramblase family member 5","1"
"TRIM59","286827","TRIM59","tripartite motif containing 59","1"
"HGFAC","3083","HGFAC","HGF activator","1"
"CYTL1","54360","CYTL1","cytokine like 1","1"
"TLR1","7096","TLR1","toll like receptor 1","1"
"RHOH","399","RHOH","ras homolog family member H","1"
"TMEM154","201799","TMEM154","transmembrane protein 154","1"
"ANXA2R","389289","ANXA2R","annexin A2 receptor","1"
"F2RL2","2151","F2RL2","coagulation factor II thrombin receptor like 2","1"
"CD14","929","CD14","CD14 molecule","1"
"PCDHGC3","5098","PCDHGC3","""protocadherin gamma subfamily C, 3""","1"
"CD74","972","CD74","CD74 molecule","1"
"SMIM3","85027","SMIM3","small integral membrane protein 3","1"
"SCGN","10590","SCGN","""secretagogin, EF-hand calcium binding protein""","1"
"HIST1H3E","NA","NA","NA","0"
"PSORS1C1","170679","PSORS1C1","psoriasis susceptibility 1 candidate 1","1"
"LST1","7940","LST1","leukocyte specific transcript 1","1"
"AIF1","199","AIF1","allograft inflammatory factor 1","1"
"CLIC1","1192","CLIC1","chloride intracellular channel 1","1"
"BTNL2","56244","BTNL2","butyrophilin like 2","1"
"HLA-DRA","3122","HLA-DRA","""major histocompatibility complex, class II, DR alpha""","1"
"HLA-DRB1","3123","HLA-DRB1","""major histocompatibility complex, class II, DR beta 1""","1"
"PSMB9","5698","PSMB9","proteasome 20S subunit beta 9","1"
"HLA-DOA","3111","HLA-DOA","""major histocompatibility complex, class II, DO alpha""","1"
"HLA-DPA1","3113","HLA-DPA1","""major histocompatibility complex, class II, DP alpha 1""","1"
"FGD2","221472","FGD2","""FYVE, RhoGEF and PH domain containing 2""","1"
"WAKMAR2","100130476","WAKMAR2","wound and keratinocyte migration associated lncRNA 2","1"
"DACT2","168002","DACT2","dishevelled binding antagonist of beta catenin 2","1"
"C7orf31","136895","C7orf31","chromosome 7 open reading frame 31","1"
"TFEC","22797","TFEC","transcription factor EC","1"
"CLEC5A","23601","CLEC5A","C-type lectin domain containing 5A","1"
"GIMAP4","55303","GIMAP4","""GTPase, IMAP family member 4""","1"
"TNFRSF11B","4982","TNFRSF11B","TNF receptor superfamily member 11b","1"
"SLA","6503","SLA","Src like adaptor","1"
"FOXD4","2298","FOXD4","forkhead box D4","1"
"SUSD3","203328","SUSD3","sushi domain containing 3","1"
"B3GNT10","100288842","B3GNT10","""UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 10 (putative)""","1"
"TTLL11-IT1","NA","NA","NA","0"
"RPP38-DT","221060","RPP38-DT","RPP38 divergent transcript","1"
"ALOX5","240","ALOX5","arachidonate 5-lipoxygenase","1"
"GDF10","2662","GDF10","growth differentiation factor 10","1"
"PALD1","27143","PALD1","phosphatase domain containing paladin 1","1"
"HHEX","3087","HHEX","hematopoietically expressed homeobox","1"
"PIK3AP1","118788","PIK3AP1","phosphoinositide-3-kinase adaptor protein 1","1"
"LDHC","3948","LDHC","lactate dehydrogenase C","1"
"RTN4RL2","349667","RTN4RL2","reticulon 4 receptor like 2","1"
"MPEG1","219972","MPEG1","macrophage expressed 1","1"
"ROM1","6094","ROM1","retinal outer segment membrane protein 1","1"
"PLAAT4","5920","PLAAT4","phospholipase A and acyltransferase 4","1"
"RCOR2","283248","RCOR2","REST corepressor 2","1"
"UNC93B1","81622","UNC93B1","""unc-93 homolog B1, TLR signaling regulator""","1"
"ALDH3B1","221","ALDH3B1","aldehyde dehydrogenase 3 family member B1","1"
"TCIRG1","10312","TCIRG1","""T cell immune regulator 1, ATPase H+ transporting V0 subunit a3""","1"
"SLCO2B1","11309","SLCO2B1","solute carrier organic anion transporter family member 2B1","1"
"HEPHL1","341208","HEPHL1","hephaestin like 1","1"
"HEPN1","641654","HEPN1","""hepatocellular carcinoma, down-regulated 1""","1"
"NRIP2","83714","NRIP2","nuclear receptor interacting protein 2","1"
"LTBR","4055","LTBR","lymphotoxin beta receptor","1"
"CD163","9332","CD163","CD163 molecule","1"
"ARHGDIB","397","ARHGDIB","Rho GDP dissociation inhibitor beta","1"
"SINHCAF","58516","SINHCAF","SIN3-HDAC complex associated factor","1"
"CPM","1368","CPM","carboxypeptidase M","1"
"TMEM119","338773","TMEM119","transmembrane protein 119","1"
"SKA3","221150","SKA3","spindle and kinetochore associated complex subunit 3","1"
"ALOX5AP","241","ALOX5AP","arachidonate 5-lipoxygenase activating protein","1"
"EPSTI1","94240","EPSTI1","epithelial stromal interaction 1","1"
"LCP1","3936","LCP1","lymphocyte cytosolic protein 1","1"
"ARL11","115761","ARL11","ADP ribosylation factor like GTPase 11","1"
"FRMD6","122786","FRMD6","FERM domain containing 6","1"
"LRRC74A","145497","LRRC74A","leucine rich repeat containing 74A","1"
"GPR65","8477","GPR65","G protein-coupled receptor 65","1"
"PRIMA1","145270","PRIMA1","proline rich membrane anchor 1","1"
"SERPINA1","5265","SERPINA1","serpin family A member 1","1"
"NPTN","27020","NPTN","neuroplastin","1"
"GOLGA6L10","647042","GOLGA6L10","golgin A6 family like 10","1"
"NR2F2","7026","NR2F2","nuclear receptor subfamily 2 group F member 2","1"
"NPIPB9","100507607","NPIPB9","nuclear pore complex interacting protein family member B9","1"
"SPN","6693","SPN","sialophorin","1"
"ITGAM","3684","ITGAM","integrin subunit alpha M","1"
"ADGRG5","221188","ADGRG5","adhesion G protein-coupled receptor G5","1"
"CKLF","51192","CKLF","chemokine like factor","1"
"HSD11B2","3291","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2","1"
"KCNG4","93107","KCNG4","potassium voltage-gated channel modifier subfamily G member 4","1"
"CYBA","1535","CYBA","cytochrome b-245 alpha chain","1"
"TNFSF13","8741","TNFSF13","TNF superfamily member 13","1"
"CD68","968","CD68","CD68 molecule","1"
"ABHD15","116236","ABHD15","abhydrolase domain containing 15","1"
"HIGD1B","51751","HIGD1B","HIG1 hypoxia inducible domain family member 1B","1"
"TTLL6","284076","TTLL6","tubulin tyrosine ligase like 6","1"
"ABI3","51225","ABI3","ABI family member 3","1"
"TMC8","147138","TMC8","transmembrane channel like 8","1"
"DCXR-DT","113523640","DCXR-DT","DCXR divergent transcript","1"
"DSG1","1828","DSG1","desmoglein 1","1"
