GENE_SYMBOLS,refseq_ids
DIPK1C,NM_001044369
C1orf61,NA
RASL10A,NM_001007279
RPL10A,NM_007104
FGFR3,NM_000142
RPL41,NM_001035267
RPSA,NM_001304288
RPL7A,NM_000972
RPL13,NM_000977
RPS27A,NM_001135592
RPL9,NM_000661
RPL17,NM_000985
CIRBP,NM_001280
PAQR6,NM_001272104
NXPH3,NM_007225
RPS3A,NM_001006
RPL3,NM_000967
RPS14,NM_001025070
TMSB10,NM_021103
RPS6KA2,NM_001006932
FAM167A,NM_053279
RPS18,NM_022551
RPL15,NM_001253379
KNDC1,NM_001347864
TMSB4X,NM_021109
RPL10,NM_001256577
IGFN1,NM_001164586
MMD2,NM_001100600
RPL18A,NM_000980
GINS3,NM_001126129
PEX11B,NM_001184795
RPS19,NM_001022
EIF4A2,NM_001967
RPS9,NM_001013
SLC25A5,NM_001152
SNHG32,NM_001040437
SLC4A8,NM_001039960
FAU,NM_001997
RPL26,NM_000987
AIFM3,NM_001018060
TRIB1,NM_001282985
KIFC3,NM_001130099
RGS4,NM_001102445
SELENOH,NM_001321335
RPS15,NM_001018
ATP6V1G2,NM_001204078
NT5E,NM_001204813
SNHG6,NR_002599
RPS10,NM_001014
CHCHD2,NM_001320327
RPS2,NM_002952
RPL7,NM_000971
NOTCH1,NM_017617
BRINP2,NM_021165
SNHG29,NM_152350
NEDD4,NM_001284338
PIPOX,NM_016518
ERBIN,NM_001006600
RPL14,NM_001034996
RPL18,NM_000979
YWHAH,NM_003405
RPS15A,NM_001019
RPL35,NM_007209
RPL27A,NM_000990
TM7SF2,NM_001277233
RPS16,NM_001020
SNHG19,NR_132114
RPS28,NM_001031
SEMA4A,NM_001193300
RPS7,NM_001011
RPL8,NM_000973
AADAT,NM_001286682
NRN1,NM_001278710
MLLT11,NM_006818
EMID1,NM_001267895
RBP1,NM_001130992
PFN2,NM_002628
RPL6,NM_000970
RPL29,NM_000992
FRMD4A,NM_001318336
NKAIN3,NM_001039769
C12orf57,NM_001301834
PCP4,NM_006198
RPLP0,NM_001002
PAMR1,NM_001001991
SHANK2,NM_001379226
RPL34,NM_000995
SLC22A6,NM_004790
