"Query","Entrez","Symbol","Name","Comment"
"ATOX1","475","ATOX1","antioxidant 1 copper chaperone","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"COX7A1","1346","COX7A1","cytochrome c oxidase subunit 7A1","1"
"TIMM8B","26521","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B","1"
"DNAJC19","131118","DNAJC19","DnaJ heat shock protein family (Hsp40) member C19","1"
"CRH","1392","CRH","corticotropin releasing hormone","1"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"RPL41","6171","RPL41","ribosomal protein L41","1"
"SNRPD1","6632","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","1"
"C18orf32","497661","C18orf32","chromosome 18 open reading frame 32","1"
"SDHAF1","644096","SDHAF1","succinate dehydrogenase complex assembly factor 1","1"
"CHCHD5","84269","CHCHD5","coiled-coil-helix-coiled-coil-helix domain containing 5","1"
"HEIH","100859930","HEIH","hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA","1"
"EMC6","83460","EMC6","ER membrane protein complex subunit 6","1"
"RPS19BP1","91582","RPS19BP1","ribosomal protein S19 binding protein 1","1"
"RPS27","6232","RPS27","ribosomal protein S27","1"
"NDUFS6","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6","1"
"LSM2","57819","LSM2","""LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"RPS15A","6210","RPS15A","ribosomal protein S15a","1"
"SNHG8","100093630","SNHG8","small nucleolar RNA host gene 8","1"
"RPS8","6202","RPS8","ribosomal protein S8","1"
"NCBP2AS2","152217","NCBP2AS2","NCBP2 antisense 2 (head to head)","1"
"FAU","2197","FAU","FAU ubiquitin like and ribosomal protein S30 fusion","1"
"HAX1","10456","HAX1","HCLS1 associated protein X-1","1"
"COPS9","150678","COPS9","COP9 signalosome subunit 9","1"
"RPL22L1","200916","RPL22L1","ribosomal protein L22 like 1","1"
"RPL34","6164","RPL34","ribosomal protein L34","1"
"DNPH1","10591","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","1"
"FIS1","51024","FIS1","""fission, mitochondrial 1""","1"
"TMEM258","746","TMEM258","transmembrane protein 258","1"
"ANAPC15","25906","ANAPC15","anaphase promoting complex subunit 15","1"
"MDP1","145553","MDP1","magnesium dependent phosphatase 1","1"
"HDDC3","374659","HDDC3","HD domain containing 3","1"
"PET117","100303755","PET117","PET117 cytochrome c oxidase chaperone","1"
"DDT","1652","DDT","D-dopachrome tautomerase","1"
"LSM7","51690","LSM7","""LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"RPLP2","6181","RPLP2","ribosomal protein lateral stalk subunit P2","1"
"IFI27L2","83982","IFI27L2","interferon alpha inducible protein 27 like 2","1"
"CHCHD1","118487","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","1"
"NEDD8","4738","NEDD8","NEDD8 ubiquitin like modifier","1"
"RPL11","6135","RPL11","ribosomal protein L11","1"
"MRPL36","64979","MRPL36","mitochondrial ribosomal protein L36","1"
"RPS14","6208","RPS14","ribosomal protein S14","1"
"POLR2I","5438","POLR2I","RNA polymerase II subunit I","1"
"UBXN1","51035","UBXN1","UBX domain protein 1","1"
"OXLD1","339229","OXLD1","oxidoreductase like domain containing 1","1"
"RPS28","6234","RPS28","ribosomal protein S28","1"
"RPL10","6134","RPL10","ribosomal protein L10","1"
"C19orf53","28974","C19orf53","chromosome 19 open reading frame 53","1"
"RPL29","6159","RPL29","ribosomal protein L29","1"
"UQCRQ","27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII","1"
"COX7A2","1347","COX7A2","cytochrome c oxidase subunit 7A2","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"RPL36A","6173","RPL36A","ribosomal protein L36a","1"
"NUDT1","4521","NUDT1","nudix hydrolase 1","1"
"SNHG15","285958","SNHG15","small nucleolar RNA host gene 15","1"
"RPS27A","6233","RPS27A","ribosomal protein S27a","1"
"MYL6B","140465","MYL6B","myosin light chain 6B","1"
"MRPL51","51258","MRPL51","mitochondrial ribosomal protein L51","1"
"ANTKMT","65990","ANTKMT","adenine nucleotide translocase lysine methyltransferase","1"
"LSM10","84967","LSM10","""LSM10, U7 small nuclear RNA associated""","1"
"RPL21","6144","RPL21","ribosomal protein L21","1"
"RPL18A","6142","RPL18A","ribosomal protein L18a","1"
"RPL35A","6165","RPL35A","ribosomal protein L35a","1"
"BOLA3","388962","BOLA3","bolA family member 3","1"
"TOMM7","54543","TOMM7","translocase of outer mitochondrial membrane 7","1"
"RPS13","6207","RPS13","ribosomal protein S13","1"
"COX14","84987","COX14","cytochrome c oxidase assembly factor COX14","1"
"NHLRC1","378884","NHLRC1","NHL repeat containing E3 ubiquitin protein ligase 1","1"
"SEC61B","10952","SEC61B","SEC61 translocon subunit beta","1"
"TMEM126A","84233","TMEM126A","transmembrane protein 126A","1"
"RPL9","6133","RPL9","ribosomal protein L9","1"
"COX17","10063","COX17","cytochrome c oxidase copper chaperone COX17","1"
"NDUFB2","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2","1"
"RPP25L","138716","RPP25L","ribonuclease P/MRP subunit p25 like","1"
"RPL12","6136","RPL12","ribosomal protein L12","1"
"ROM1","6094","ROM1","retinal outer segment membrane protein 1","1"
"HEPN1","641654","HEPN1","""hepatocellular carcinoma, down-regulated 1""","1"
"MRPL57","78988","MRPL57","mitochondrial ribosomal protein L57","1"
"RPL36AL","6166","RPL36AL","ribosomal protein L36a like","1"
"TMEM160","54958","TMEM160","transmembrane protein 160","1"
"RPL39","6170","RPL39","ribosomal protein L39","1"
"UQCR10","29796","UQCR10","""ubiquinol-cytochrome c reductase, complex III subunit X""","1"
"TMEM256","254863","TMEM256","transmembrane protein 256","1"
"RPS9","6203","RPS9","ribosomal protein S9","1"
"RPS21","6227","RPS21","ribosomal protein S21","1"
"TCEAL8","90843","TCEAL8","transcription elongation factor A like 8","1"
"POMC","5443","POMC","proopiomelanocortin","1"
"RPS10","6204","RPS10","ribosomal protein S10","1"
"HINT2","84681","HINT2","histidine triad nucleotide binding protein 2","1"
"MRPL52","122704","MRPL52","mitochondrial ribosomal protein L52","1"
"SLIRP","81892","SLIRP","SRA stem-loop interacting RNA binding protein","1"
"RPL35","11224","RPL35","ribosomal protein L35","1"
"MRPS24","64951","MRPS24","mitochondrial ribosomal protein S24","1"
"ANKRD65","441869","ANKRD65","ankyrin repeat domain 65","1"
"RPS3A","6189","RPS3A","ribosomal protein S3A","1"
"BAG1","573","BAG1","BAG cochaperone 1","1"
"POLD4","57804","POLD4","""DNA polymerase delta 4, accessory subunit""","1"
"TMEM208","29100","TMEM208","transmembrane protein 208","1"
"MRPL40","64976","MRPL40","mitochondrial ribosomal protein L40","1"
"CORT","1325","CORT","cortistatin","1"
"RPS29","6235","RPS29","ribosomal protein S29","1"
"DUSP28","285193","DUSP28","dual specificity phosphatase 28","1"
