GENE_SYMBOLS,refseq_ids
YWHAH,NM_003405
AZIN2,NM_001293562
SNAP25,NM_001322902
CALM2,NM_001305624
CX3CR1,NM_001171171
NAV2,NM_001111018
VSNL1,NM_001366803
LTC4S,NM_000897
PRDM11,NM_001256695
EIF4A2,NM_001967
SFMBT2,NM_001018039
PFN2,NM_002628
YWHAG,NM_012479
DSTN,NM_001011546
CALM3,NM_001329921
IGF1,NM_000618
USP15,NM_001252078
NRN1,NM_001278710
NDUFA4,NM_002489
TPI1,NM_000365
SSH2,NM_001282129
A2M,NM_000014
NEAT1,NR_002802
MLLT11,NM_006818
GAP43,NM_001130064
SELENOW,NM_003009
DYNLL1,NM_001037494
FMN1,NM_001103184
ARNTL,NA
OAZ1,NM_001301020
EIF1B,NM_005875
CEND1,NM_016564
ATP5MD,NA
TOMM7,NM_019059
IGF2R,NM_000876
STUB1,NM_001293197
NLRC5,NM_001330552
IFNAR2,NM_000874
CCDC85B,NM_006848
ABHD3,NM_001308256
EAF2,NM_001320041
ATP5MPL,NA
ACTG1,NM_001199954
BEX1,NM_018476
PRDX5,NM_001358511
SULT4A1,NM_014351
PGAM1,NM_001317079
RGS4,NM_001102445
CHCHD2,NM_001320327
COX4I1,NM_001318786
NAP1L5,NM_153757
PLAT,NM_000930
GNG3,NM_012202
TMSB10,NM_021103
BEX3,NM_001282674
FOXP1,NM_001012505
MOAP1,NM_022151
HTRA1,NM_002775
TBC1D8,NM_001102426
MICOS10,NM_001032363
TAGLN3,NM_001008272
HOPX,NM_001145459
NDRG4,NM_001130487
TNFAIP8,NM_001077654
RUNX1,NM_001001890
ITGAX,NM_000887
JAK3,NM_000215
UQCR10,NM_001003684
PCP4,NM_006198
P2RY13,NM_023914
COPS9,NM_001163424
RPL34,NM_000995
ATP6V1G2,NM_001204078
PER3,NM_001289861
GABARAPL1,NM_001363598
TSPAN7,NM_004615
ENC1,NM_001256574
STON2,NM_001256430
COX5B,NM_001862
PNMA2,NM_007257
MGLL,NM_001003794
C1orf162,NM_001300834
PDE4D,NM_001104631
MS4A6A,NM_001247999
KBTBD12,NM_001370224
TBC1D4,NM_001286658
PYGL,NM_001163940
KIF26B,NM_018012
ZNF385B,NM_001113397
RPS21,NM_001024
WLS,NM_001002292
CYCS,NM_018947
ZFAND5,NM_001102420
P2RY12,NM_022788
LNCAROD,NR_120641
PNMA1,NM_006029
MED12L,NM_001393769
PID1,NM_001100818
PMEPA1,NM_001255976
RPS29,NM_001030001
TBC1D14,NM_001113361
BEX4,NM_001080425
DENND3,NM_001352890
PDXP,NM_020315
PLD4,NM_001308174
SATB1,NM_001131010
CHST15,NM_001270764
NAALADL2,NM_207015
COX6C,NM_004374
HDAC4,NM_001378414
CD163,NM_001370145
RPL41,NM_001035267
TLR5,NM_003268
ATP5MC3,NM_001002256
RPL38,NM_000999
UBL5,NM_001048241
CHCHD10,NM_001301339
CALCOCO2,NM_001261390
TMTC2,NM_001320321
H2AFZ,NA
RPL9,NM_000661
DPYD,NM_000110
RPS19BP1,NM_194326
CPLX1,NM_006651
COX7C,NM_001867
MZT2B,NM_001330282
TMEM160,NM_017854
PINK1,NM_032409
LCP1,NM_002298
SELENOH,NM_001321335
WSB2,NM_001278557
HINT1,NM_005340
SNHG8,NR_003584
BEX5,NM_001012978
DSCAM,NM_001271534
RBFOX1,NM_001142333
SH3PXD2B,NM_001017995
SRP14,NM_001309434
ATP11A,NM_001405661
DIRAS2,NM_017594
RPL7,NM_000971
NAP1L2,NM_021963
PHF21A,NM_001101802
CAPNS1,NM_001003962
ZMAT1,NM_001011657
TRPM3,NM_001007470
ATP6V1F,NM_001198909
KHDRBS3,NM_006558
CHRM3,NM_000740
CYSTM1,NM_032412
PIK3AP1,NM_152309
MAP1LC3A,NM_032514
MIF,NM_002415
PFDN5,NM_002624
SLA,NM_001045556
ADAP2,NM_001346712
RNF175,NM_173662
SYNDIG1,NM_001323606
RNF149,NM_173647
CASP4,NM_001225
AIDA,NM_022831
SLC35G2,NM_001097599
MACORIS,NR_184023
DTNBP1,NM_001271667
PTPN2,NM_001207013
TRPS1,NM_001282902
CD163L1,NM_001297650
SLC38A2,NM_001307936
AP1S1,NM_001283
DSE,NM_001080976
ERC2,NM_015576
NSG2,NM_015980
UBE2M,NM_003969
SPATA6,NM_001286238
DISP1,NM_001350630
PDP1,NM_001161778
NSG1,NM_001040101
SHOC1,NM_001080551
CACNB4,NM_000726
FKBP5,NM_001145775
YBX3,NM_001145426
MAP2K6,NM_001330450
