GENE_SYMBOLS,refseq_ids
HES4,NM_001142467
PEX10,NM_001374425
CORT,NM_001302
RPL11,NM_000975
HMGN2,NM_005517
ATP5IF1,NM_016311
CCDC28B,NM_001301011
SYNC,NM_001161708
LSM10,NM_032881
C1orf122,NM_001142726
NDUFS5,NM_001184979
RPS8,NM_001012
UQCRH,NM_001297565
KTI12,NM_138417
ADGRL4,NM_022159
COL11A1,NM_001190709
TAF13,NM_005645
LAMTOR5,NM_001382293
SYT6,NM_001253772
BOLA1,NM_001321025
MRPL9,NM_001300733
SNAPIN,NM_012437
RPS27,NM_001030
HAX1,NM_001018837
DPM3,NM_018973
SSR2,NM_003145
UFC1,NM_016406
PCP4L1,NM_001102566
RGS16,NM_002928
SNRPE,NM_001304464
HIST3H2A,NA
RPS7,NM_001011
KCNF1,NM_002236
OST4,NM_001134693
ATRAID,NM_001170795
FNDC4,NM_022823
EPCAM-DT,NR_110207
RPS27A,NM_001135592
PRADC1,NM_032319
CCT7,NM_001009570
BOLA3,NM_001035505
RNF181,NM_016494
COX5B,NM_001862
CHCHD5,NM_001304353
MZT2B,NM_001330282
NDUFB3,NM_001257102
EEF1B2,NM_001037663
RPL37A,NM_000998
GLB1L,NM_001286423
SCG2,NM_003469
COPS9,NM_001163424
DUSP28,NM_001033575
IL17RE,NM_001193380
RPL32,NM_000994
LSM3,NM_014463
RPL15,NM_001253379
TGFBR2,NM_001024847
CMTM7,NM_138410
RPSA,NM_001304288
EIF1B,NM_005875
RPL14,NM_001034996
CCK,NM_000729
CCDC51,NM_001256964
TMA7,NM_001329417
ARIH2OS,NM_001123040
IMPDH2,NM_000884
MANF,NM_006010
RPL29,NM_000992
SPCS1,NM_014041
SELENOK,NM_021237
RPL24,NM_000986
COX17,NM_001382002
PLSCR5,NM_001085420
LXN,NM_020169
RPL22L1,NM_001099645
NDUFB5,NM_001199957
DNAJC19,NM_001190233
AP2M1,NM_001025205
SST,NM_001048
NCBP2AS2,NM_001355243
RPL35A,NM_000996
ATP5ME,NM_007100
C4orf48,NM_001141936
RPL9,NM_000661
N4BP2,NM_001318359
CCNI,NM_001348132
H2AFZ,NA
RPL34,NM_000995
SNHG8,NR_003584
NDUFC1,NM_001184986
RPS3A,NM_001006
MARCH1,NA
MRPL36,NM_032479
NDUFS6,NM_004553
MED10,NM_032286
ZNF622,NM_033414
RPL37,NM_000997
BTF3,NM_001037637
RPS23,NM_001025
COX7C,NM_001867
NUDT12,NM_001300741
HINT1,NM_005340
UQCRQ,NM_014402
LEAP2,NM_052971
PCDHGA1,NM_018912
FGF1,NM_000800
RPS14,NM_001025070
ATOX1,NM_004045
MED7,NM_001100816
FABP6,NM_001040442
NPM1,NM_001037738
HIGD2A,NM_138820
HEIH,NR_045680
TMEM14C,NM_001165258
RPP21,NM_001199120
HLA-B,NM_005514
LTB,NM_002341
LSM2,NM_021177
SNHG32,NM_001040437
RPS18,NM_022551
CUTA,NM_001014433
RPS10,NM_001014
RPL10A,NM_007104
TOMM6,NM_001134493
MEA1,NM_001318942
MRPL2,NM_001300848
DNPH1,NM_006443
DLK2,NM_001286655
COX7A2,NM_001366292
BVES,NM_001199563
HDDC2,NM_016063
RPS12,NM_001016
ABRACL,NM_021243
VIP,NM_003381
FNDC1,NM_032532
PDE10A,NM_001130690
PSMG3,NM_001134340
NDUFA4,NM_002489
TOMM7,NM_019059
CYCS,NM_018947
MRPS24,NM_032014
SNHG15,NR_003697
TNS3,NM_001410877
SEC61G,NM_001012456
MRPS17,NM_015969
CHCHD2,NM_001320327
PDAP1,NM_014891
ATP5MF,NM_001003713
PPP1R35,NM_001346938
VGF,NM_003378
NAT16,NM_001369694
FIS1,NM_016068
SPDYE2,NM_001031618
GPR22,NM_005295
NDUFA5,NM_001282419
SMKR1,NM_001195243
FMC1,NM_197964
KDM7A-DT,NR_024451
NDUFB2,NM_004546
TRBC2,NA
R3HCC1,NM_001136108
DUSP4,NM_001394
SMIM19,NM_001135674
CHD7,NM_001316690
CRH,NM_000756
SNHG6,NR_002599
RPL7,NM_000971
UQCRB,NM_001199975
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
NDUFB9,NM_001278645
EXOSC4,NM_019037
GPAA1,NM_003801
CYC1,NM_001916
RPL8,NM_000973
C8orf33,NM_023080
KCNV2,NM_133497
RPS6,NM_001010
SMIM27,NM_001349118
BAG1,NM_001172415
RPP25L,NM_148178
DCTN3,NM_001281425
STOML2,NM_001287031
HINT2,NM_032593
TOMM5,NM_001001790
FAM201A,NR_027294
RPL35,NM_007209
RPL12,NM_000976
SET,NM_001122821
ENDOG,NM_004435
RPL7A,NM_000972
SNHG7,NM_032887
TMEM141,NM_032928
PHPT1,NM_001135860
MAN1B1-DT,NR_027447
TMEM203,NM_053045
DCLRE1C,NM_001033855
CUBN,NM_001081
CHCHD1,NM_203298
RPS24,NM_001026
RBP4,NM_001323517
BLOC1S2,NM_001001342
NDUFB8,NM_001284367
ATP5MD,NA
ADRA2A,NM_000681
HRAS,NM_001130442
RPLP2,NM_001004
POLR2L,NM_021128
CD81,NM_001297649
RPL27A,NM_000990
RPS13,NM_001017
LDHA,NM_001135239
ACP2,NM_001131064
TIMM10,NM_012456
SELENOH,NM_001321335
TMEM258,NM_014206
UQCC3,NM_001085372
UBXN1,NM_001286077
SLC22A10,NM_001039752
COX8A,NM_004074
NUDT22,NM_001128612
VEGFB,NM_001243733
FKBP2,NM_001135208
PPP1R14B,NM_138689
PRDX5,NM_001358511
SAC3D1,NM_001367485
FAU,NM_001997
KAT5,NM_001206833
CCDC85B,NM_006848
DRAP1,NM_006442
POLD4,NM_001256870
GSTP1,NM_000852
MRPL21,NM_181512
FADD,NM_003824
ANAPC15,NM_001278485
COA4,NM_016565
UCP3,NM_003356
RPS3,NM_001005
TMEM126A,NM_001244735
SCARNA9,NR_002569
MAML2,NM_032427
ANGPTL5,NM_178127
TIMM8B,NM_012459
RPS25,NM_001028
VPS11,NM_001290185
MRPL51,NM_016497
COPS7A,NM_001164093
C12orf57,NM_001301834
PRR4,NM_001098538
SLC38A4,NM_001143824
PFKM,NM_000289
CCDC65,NM_001286957
COX14,NM_001257133
IGFBP6,NM_002178
PFDN5,NM_002624
C12orf10,NA
RPS26,NM_001029
RPL41,NM_001035267
MYL6B,NM_001199629
DDIT3,NM_001195053
TSPAN31,NM_001330168
HELLPAR,NA
RPL6,NM_000970
RASAL1,NM_001193520
COX6A1,NM_004373
TRIAP1,NM_016399
SRSF9,NM_003769
POP5,NM_015918
ARL6IP4,NM_001002251
TMED2,NM_001321445
MRPL57,NM_024026
RPL21,NM_000982
POMP,NM_015932
N4BP2L2-IT2,NR_026928
APEX1,NM_001244249
PIP4P1,NM_001100814
MDP1,NM_001199821
GMPR2,NM_001002000
RPS29,NM_001030001
RPL36AL,NM_001001
ERH,NM_004450
SLIRP,NM_001267863
TMEM251,NA
ASB2,NM_001202429
IFI27L2,NM_032036
ATP5MPL,NA
GCHFR,NM_005258
TUBGCP4,NM_001286414
SERF2,NM_001018108
RSL24D1,NM_016304
FBXL22,NM_001367807
RPLP1,NM_001003
RPP25,NM_017793
NMB,NM_021077
MRPL46,NM_022163
HDDC3,NM_001286451
ST8SIA2,NM_001330416
MCRIP2,NM_001331229
STUB1,NM_001293197
ANTKMT,NM_001271285
TSR3,NM_001001410
C16orf91,NA
MRPS34,NM_001300900
NDUFB10,NM_004548
RPS2,NM_002952
ELOB,NM_007108
ZNF174,NM_001032292
TMEM186,NM_015421
RPS15A,NM_001019
NPIPB6,NM_001282524
SEZ6L2,NM_001114099
ASPHD1,NM_181718
DCTPP1,NM_024096
SEPHS2,NM_012248
TRADD,NM_001323552
TMEM208,NM_001318217
PSMB10,NM_002801
GCSH,NM_004483
COX4I1,NM_001318786
TRAPPC2L,NM_001318524
RPL13,NM_000977
RILP,NM_031430
EMC6,NM_001014764
PSMB6,NM_001270481
TXNDC17,NM_032731
RNASEK,NM_001004333
ELP5,NM_015362
TMEM256,NM_152766
CHRNB1,NM_000747
SAT2,NM_001320845
NAA38,NM_001320924
RPL26,NM_000987
TMEM220,NM_001004313
SNHG29,NM_152350
PIGS,NM_033198
RPL23A,NM_000984
OMG,NM_002544
RPL23,NM_000978
RPL19,NM_000981
KRT10,NM_000421
NT5C3B,NM_052935
VPS25,NM_032353
RPL27,NM_000988
RND2,NM_005440
ATP5MC1,NM_001002027
NXPH3,NM_007225
SLC35B1,NM_001278784
NME1,NM_000269
NME2,NM_001018137
RPL38,NM_000999
ATP5PD,NM_001003785
NT5C,NM_001252377
MRPS7,NM_015971
SGSH,NM_000199
NDUFAF8,NM_001086521
OXLD1,NM_001039842
ARL16,NM_001040025
ANAPC11,NM_001002244
NPB,NM_148896
CENPX,NM_001271006
C18orf32,NM_001035005
RPL17,NM_000985
PARD6G,NM_032510
GPX4,NM_001039847
CBARP,NM_001393918
RPS15,NM_001018
UQCR11,NM_006830
LSM7,NM_016199
TIMM13,NM_012458
PLIN5,NM_001013706
MYDGF,NM_019107
MICOS13,NM_001308240
ALKBH7,NM_032306
PET100,NM_001171155
NDUFA7,NM_005001
RPS28,NM_001031
UBL5,NM_001048241
FDX2,NM_001031734
ILF3-DT,NM_203300
SWSAP1,NM_175871
GET3,NM_001371488
GADD45GIP1,NM_052850
C19orf53,NM_014047
NDUFB7,NM_004146
OCEL1,NM_024578
MRPL34,NM_001382342
TMEM221,NM_001190844
RPL18A,NM_000980
LSM4,NM_001252129
REX1BD,NM_001100418
NDUFA13,NM_015965
ZNF257,NM_001316996
UQCRFS1,NM_006003
POP4,NM_006627
SLC7A9,NM_001126335
TMEM147,NM_001242597
COX6B1,NM_001863
U2AF1L4,NM_001040425
SDHAF1,NM_001042631
POLR2I,NM_006233
COX7A1,NM_001864
SPRED3,NM_001039616
RPS16,NM_001020
RPS19,NM_001022
TMEM160,NM_017854
C5AR1,NM_001736
SELENOW,NM_003009
RPL18,NM_000979
BAX,NM_001291428
FTL,NM_000146
FAM71E1,NA
C19orf81,NM_001195076
CLEC11A,NM_002975
RPS9,NM_001013
UBE2S,NM_014501
CCDC106,NM_001370467
TRAPPC2B,NM_001355204
RPS5,NM_001009
IDH3B,NM_001258384
MRPS26,NM_030811
SPEF1,NM_015417
CHGB,NM_001819
SMIM26,NM_001348957
PDRG1,NM_030815
MAP1LC3A,NM_032514
MMP24OS,NM_001355003
ROMO1,NM_080748
SLC32A1,NM_080552
FITM2,NM_001080472
ZFAS1,NR_003604
MOCS3,NM_014484
CBLN4,NM_080617
ATP5F1E,NM_006886
RPS21,NM_001024
HAR1A,NR_003244
LKAAEAR1,NM_001007125
ATP5PF,NM_001003696
MRPL40,NM_001318151
RANBP1,NM_001278639
THAP7,NM_001008695
CHCHD10,NM_001301339
DDT,NM_001084392
UQCR10,NM_001003684
SELENOM,NM_080430
SH3BP1,NM_001350055
MAFF,NM_001161572
RPL3,NM_000967
RPS19BP1,NM_194326
PMM1,NM_002676
SMDT1,NM_033318
NDUFA6,NM_002490
SCO2,NM_001169109
TBL1X,NM_001139466
TMSB4X,NM_021109
NDUFB11,NM_001135998
SHROOM4,NM_020717
MAGEH1,NM_014061
RPS4X,NM_001007
COX7B,NM_001866
TIMM8A,NM_001145951
RPL36A,NM_001199972
TCEAL2,NM_080390
TCEAL6,NM_001006938
BEX5,NM_001012978
BEX1,NM_018476
BEX4,NM_001080425
TCEAL8,NM_001006684
TCEAL5,NM_001012979
BEX2,NM_001168399
TCEAL7,NM_001348258
SLC25A5,NM_001152
RPL39,NM_001000
NDUFA1,NM_004541
TMEM255A,NM_001104544
RAB33A,NM_004794
RPL10,NM_001256577
LAGE3,NM_006014
VBP1,NM_001303543
