GENE_SYMBOLS,refseq_ids
FHAD1,NM_001387888
CROCC,NM_014675
PADI2,NM_007365
C1QA,NM_001347465
C1QC,NM_001114101
S100A11,NM_005620
S100A8,NM_001319196
FCGR3A,NM_000569
FAM163A,NM_001329712
PRELP,NM_002725
LYPLAL1-DT,NR_038845
WDR64,NM_001367482
COLEC11,NM_001255982
ZAP70,NM_001079
SLC38A11,NM_001199148
SERPINE2,NM_001136528
OTOS,NM_148961
SAMMSON,NR_110000
TEX55,NM_152539
TPRG1,NM_198485
ANXA3,NM_005139
PLCXD3,NM_001005473
CCDC125,NM_001297696
CRHBP,NM_001882
CD74,NM_001025158
FOXF2,NM_001452
DSP,NM_001008844
SCGN,NM_006998
HIST1H3E,NA
PSORS1C1,NM_014068
AIF1,NM_001318970
PXT1,NM_152990
NFKBIE,NM_004556
CASP8AP2,NM_001137667
RSPH10B2,NM_001099697
CDCA7L,NM_001127370
TBXAS1,NM_001061
TMEM176B,NM_001101311
CHRNB3,NM_000749
FRMPD1,NM_001371223
RASEF,NM_152573
CTSV,NM_001201575
AKR1C3,NM_001253908
ECHDC3,NM_024693
ITGA8,NM_001291494
STOX1,NM_001130159
SRGN,NM_001321053
NPFFR1,NM_022146
VSIR,NM_022153
ZCCHC24,NM_153367
RGR,NM_001012720
MMP26,NM_001384608
SOX6,NM_001145811
APLNR,NM_005161
ROM1,NM_000327
TBC1D10C,NM_001256508
HEPHL1,NM_001098672
CLMP,NM_024769
NRIP2,NM_031474
SLC38A2,NM_001307936
GJD2,NM_020660
PRTG,NM_173814
GCOM1,NM_001018090
MFGE8,NM_001114614
EMP2,NM_001424
HSD11B2,NM_000196
C16orf74,NM_206967
TRARG1,NM_172367
PIEZO2,NM_001378183
GDF15,NM_004864
SCGB2B2,NM_001025591
PPP1R14A,NM_001243947
AXL,NM_001278599
ZNF574,NM_001330519
IZUMO2,NM_001321449
LILRB3,NM_001081450
RIN2,NM_001242581
EFCAB8,NM_001143967
SLC5A3,NM_006933
NEFH,NM_021076
MICALL1,NM_001410818
SUN2,NM_001199579
CPT1B,NM_001145134
DOCK11,NM_144658
PNMA5,NM_001103150
